customer_id,purchase_amount,category,purchase_date,quantity,age,location,customer_tenure_months,income_level,month,day_of_week,hour,satisfaction_score
1,112.82,Fashion,2023-03-10,2,42,Suburban,24,nan,3,Friday,0,36
1,429.43,Sports,2023-09-24,2,42,Suburban,24,nan,9,Sunday,0,32
1,133.03,Fashion,2023-03-18,2,42,Suburban,24,Low,3,Saturday,0,31
1,240.16,Home & Garden,2023-01-09,1,42,Suburban,24,Low,1,Monday,0,22
1,64.45,Home & Garden,2023-02-12,4,42,Suburban,24,Low,2,Sunday,0,30
1,135.37,Fashion,2023-01-15,2,42,Suburban,24,Medium,1,Sunday,0,49
1,742.07,Electronics,2023-04-04,2,42,Suburban,24,Medium,4,Tuesday,0,39
1,22.7,Books,2023-06-24,1,42,Suburban,24,Medium,6,Saturday,0,8
2,89.2,Sports,2023-03-21,4,32,Suburban,0,High,3,Tuesday,0,43
2,173.11,Sports,2023-02-27,4,32,Suburban,0,Medium,2,Monday,0,38
2,10.71,Books,2023-02-15,3,32,Suburban,0,High,2,Wednesday,0,31
2,175.87,Home & Garden,2023-01-24,2,32,Suburban,0,Low,1,Tuesday,0,38
2,229.96,Home & Garden,2023-02-05,3,32,Suburban,0,Low,2,Sunday,0,34
2,170.17,Home & Garden,2023-01-31,3,32,Suburban,0,Medium,1,Tuesday,0,49
3,498.43,Sports,2023-04-06,4,44,Urban,20,Low,4,Thursday,0,46
3,34.96,Books,2023-02-25,3,44,Urban,20,Medium,2,Saturday,0,26
3,45.46,Books,2023-01-22,3,44,Urban,20,High,1,Sunday,0,45
3,133.03,Home & Garden,2023-05-13,2,44,Urban,20,Low,5,Saturday,0,50
3,10.44,Books,2023-03-07,2,44,Urban,20,High,3,Tuesday,0,39
3,40.41,Books,2023-03-18,1,44,Urban,20,Medium,3,Saturday,0,34
3,10.48,Books,2024-01-08,2,44,Urban,20,Low,1,Monday,0,21
3,48.38,Books,2023-01-12,4,44,Urban,20,Medium,1,Thursday,0,37
4,29.53,Books,2023-02-09,4,57,Rural,1,High,2,Thursday,0,34
4,105.68,Fashion,2023-02-20,2,57,Rural,1,Medium,2,Monday,0,31
4,161.3,Fashion,2023-11-07,1,57,Rural,1,Medium,11,Tuesday,0,39
4,757.12,Electronics,2023-01-08,1,57,Rural,1,nan,1,Sunday,0,44
4,187.46,Fashion,2023-06-01,4,57,Rural,1,High,6,Thursday,0,38
4,156.2,Home & Garden,2023-03-01,1,57,Rural,1,Low,3,Wednesday,0,43
4,99.99,Electronics,2023-01-17,4,57,Rural,1,High,1,Tuesday,0,18
4,268.31,Sports,2023-01-05,1,57,Rural,1,Medium,1,Thursday,0,24
4,202.83,Home & Garden,2023-01-12,1,57,Rural,1,High,1,Thursday,0,24
4,30.34,Books,2023-03-03,4,57,Rural,1,Medium,3,Friday,0,49
